																					Class	L	R	B	B	B
1457	1.697	611.32947	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	11.51	20180104_RG_01R	611.32947:219991 612.33282:76373 613.33618:11497	53.82443:1182 58.52403:1358 59.01294:2051 66.93666:1151 71.01321:1689 83.6926:1319 85.52856:1444 87.68285:1303 92.00142:3514 102.11024:1391 103.74359:1285 124.61829:1215 136.83632:1335 155.93504:1400 166.92578:1418 175.5988:1523 192.42366:1328 192.43886:1447 197.6844:1313 208.0519:1419 260.22092:1431 276.6051:1683 329.98209:1812 565.19928:2393 611.33514:2175	0	219991	0	0	0
1458	1.096	611.33002	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	9.4	20180104_RG_01R	611.33002:183261 612.33337:69714 613.33673:24567		0	183261	0	0	0
1459	5.252	611.37299	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.27	20180104_RG_01R	611.37299:62213 612.37634:40914 613.3797:39637		0	62213	0	0	0
1460	4.489	611.41046	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	5.44	Blank_01_180105013944	611.41046:20609 612.41381:36760 613.41717:20372		0	0	0	1238	20609
1461	6.673	611.41107	Unknown	[M-H2O-H]-	adduct linked to 2322_[M+FA-H]-; adduct linked to 2326_[M+FA-H]-	0.4	True	null	null	null	null		null	null	null	null	null	104.07	20180104_RG_01R	611.41107:1593622 612.41442:1217458 613.41778:1108572	55.80194:1153 56.80216:1070 57.41996:1316 94.6847:1464 97.79279:1498 98.88528:1355 108.14494:1481 171.70056:1373 175.6805:1291 189.67592:1449 271.6713:1399 518.98877:1539 604.28497:1582	113747	1593622	1232	2046	2353
1462	5.893	611.43207	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	372.77	20180104_RG_01R	611.43207:18639 612.43542:9016 613.43878:0		0	18639	0	0	0
1463	5.547	611.43365	Unknown	[M-H]-	similar chromatogram in higher mz_5995	0.2	False	null	null	null	null		null	null	null	null	null	357.78	20180104_RG_01R	611.43365:17889 612.437:7345 613.44036:0		0	17889	0	0	0
1464	6.285	611.44513	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	150.85	Blank_01_180104225037	611.44513:60416 612.44848:31702 613.45184:43625		0	0	13984	60416	7494
1465	0.905	612.04279	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.29	20180104_RG_01R	612.04279:15044 613.04614:25101 614.0495:264438		0	15044	0	0	0
1466	2.773	612.16382	Unknown	[M-H]-		0.8	True	null	null	null	null		null	null	null	null	null	42.41	Blank_01_180104225037	612.16382:149370 613.16717:177014 614.17053:74106	69.26476:1337 70.02448:1350 76.93964:1256 85.49921:1839 89.26466:1347 91.99545:3389 98.53537:1250 99.41712:1252 146.37888:1345 154.27109:1526 208.78804:1515 274.69052:1476 289.5397:1332 350.59659:1512 475.79077:1563 612.16693:1577	2107	95930	111831	149370	127070
1467	2.877	612.16418	Unknown	[M-H]-		0.8	False	null	null	null	null		null	null	null	null	null	49.96	Blank_01_180104205754	612.16418:161329 613.16753:289986 614.17089:104526		1363	79698	161329	145917	143079
1468	3.558	612.2547	Unknown	[M+FA-H]-	adduct linked to 766_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	4.78	20180104_RG_01R	612.2547:207669 613.25805:113761 614.26141:39500		0	207669	0	0	1353
1469	3.65	612.25574	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.6	20180104_RG_01R	612.25574:156658 613.25909:56448 614.26245:26341		0	156658	0	0	977
1470	3.911	612.26105	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	3.73	20180104_RG_01R	612.26105:161995 613.2644:125350 614.26776:31262	51.44073:1048 54.58916:1194 67.05839:1229 69.11034:1150 74.89563:1233 85.52106:1492 89.95113:1424 91.99472:2999 105.60048:1341 111.47927:1245 112.98495:1415 116.92786:30474 133.66443:1342 144.62758:1312 168.85936:1342 192.42873:1665 192.90312:1329 396.91669:1649 437.25012:1592 511.09445:1716 548.44995:1630	0	161995	0	0	0
1471	6.623	612.52362	Unknown	[M+FA-H]-	adduct linked to 774_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	393.14	Blank_01_180104225037	612.52362:19657 613.52697:8973 614.53033:0		0	0	1530	19657	2612
1472	0.512	612.53705	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	19.45	Blank_01_180104205754	612.53705:22919 613.5404:0 614.54376:60631		1185	0	22919	3307	0
1473	0.509	612.84009	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.38	Blank_01_180105013944	612.84009:18852 613.84344:0 614.8468:30799		2218	0	1617	3443	18852
1474	6.889	612.85046	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.03	20180104_RG_01L	612.85046:15366 613.85381:0 614.85717:0		15366	11912	13246	11872	26106
1475	6.739	612.98926	Unknown	[M+FA-H]-	adduct linked to 775_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	6.38	20180104_RG_01L	612.98926:93017 613.99261:16030 614.99597:169050		93017	80926	62653	53128	67124
1476	6.3	612.98969	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	2.78	Blank_01_180105013944	612.98969:79371 613.99304:0 614.9964:80957		77796	49450	67684	72520	79371
1477	6.435	612.99109	Unknown	[M-H]-	adduct linked to 1213_[M-H2O-H]-	0.6	False	null	null	null	null		null	null	null	null	null	3.45	Blank_01_180104225037	612.99109:113680 613.99444:20298 614.9978:148333		99439	97089	108455	113680	85633
1478	3.576	613.01001	Unknown	[M+FA-H]-	adduct linked to 525_[M-H2O-H]-	0.2	False	null	null	null	null		null	null	null	null	null	0.81	20180104_RG_01R	613.01001:45403 614.01336:0 615.01672:75535		30941	45403	26878	29961	34640
1479	1.913	613.07788	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.55	20180104_RG_01L	613.07788:19363 614.08123:0 615.08459:18087		19363	0	0	0	0
1480	0.998	613.08771	Unknown	[M-H]-		0.4	True	null	null	null	null		null	null	null	null	null	51.82	20180104_RG_01R	613.08771:2438794 614.09106:1571078 615.09442:416474	70.00122:1272 96.9596:191177 114.07043:1213 120.45646:1517 135.04419:2357 179.03671:8007 191.05557:11998 192.43886:1801 224.63562:1425 248.7263:1589 353.08868:16903 360.30954:1560 399.40372:1442 511.80762:1428 517.55615:1369 526.86084:1923	86261	2438794	0	0	0
1481	1.321	613.08917	Unknown	[M-H]-		0.4	True	null	null	null	null		null	null	null	null	null	7.04	20180104_RG_01R	613.08917:226543 614.09252:107875 615.09588:44073	56.31796:1074 62.25455:1251 71.22087:1301 75.732:1264 85.52481:1606 92.00226:5022 96.95968:4893 131.62408:1464 234.99286:2093 303.01804:1992 351.04581:1671 390.77811:1745 425.93936:1385 567.08228:15134	33920	226543	0	0	0
1482	1.998	613.15173	Unknown	[M-H]-	adduct linked to 2131_[M+FA-H]-	0.4	False	null	null	null	null		null	null	null	null	null	33.06	Blank_01_180104205754	613.15173:119662 614.15508:216510 615.15844:27545		0	9510	119662	88471	96973
1483	2.875	613.24689	Unknown	[M+FA-H]-	adduct linked to 786_[M-H]-	0.6	False	null	null	null	null		null	null	null	null	null	57.14	Blank_01_180104205754	613.24689:102550 614.25024:65383 615.2536:0		0	59090	102550	82123	79185
1484	1.862	613.25098	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	13.5	20180104_RG_01R	613.25098:1016216 614.25433:1148936 615.25769:260392	59.0125:1818 85.53082:1758 100.31279:1352 192.44392:1720 467.23511:2119	2760	1016216	0	0	0
1485	1.975	613.28619	Unknown	[M-H]-	found in higher mz's MsMs_2110	0.2	True	null	null	null	null		null	null	null	null	null	22.55	20180104_RG_01R	613.28619:1058042 614.28954:1000294 615.2929:276273	59.01284:104394 71.0131:45903 72.99222:6419 73.02874:42206 75.00764:2813 83.0133:8841 85.02874:10504 87.00838:6054 89.02348:35294 91.99387:2576 99.00851:5352 101.02346:71427 113.02338:29079 117.7417:1841 119.03384:17144 125.02439:1738 143.03546:1794 161.04648:2663 203.14445:8797 216.72284:1795 232.14815:11373 233.15439:56887 245.15575:7442 248.78955:1599 277.18201:1920 379.21237:20696 407.20932:2392 425.21475:2721 553.27362:11534 571.27716:43991 595.28381:1700 613.28979:352097	7895	1058042	0	0	133
1486	2.141	613.28864	Unknown	[M-H]-	found in higher mz's MsMs_2112	0.2	True	null	null	null	null		null	null	null	null	null	27.14	20180104_RG_01R	613.28864:1276350 614.29199:830302 615.29535:214615	58.00512:2494 59.0128:36474 71.01308:12320 72.99222:1956 73.02891:6389 75.00765:2777 85.02879:8555 87.00807:15347 97.02945:1705 101.02331:20222 107.59231:1423 113.02368:6206 115.4347:1362 130.83974:1667 144.24226:1395 163.11345:8845 192.46671:1942 203.14391:11536 205.16162:6466 233.155:3097 236.97704:1639 247.17078:3432 261.15118:7231 263.16748:75134 277.05075:1494 289.18048:3283 381.52206:1630 407.20563:9953 409.22791:6235 425.22116:20857 541.19995:1570 553.26984:8349 571.27698:21198 587.84546:1468 613.28986:200738	0	1276350	0	0	0
1487	2.875	613.30811	Unknown	[M+FA-H]-	adduct linked to 786_[M-H]-	0.6	False	null	null	null	null		null	null	null	null	null	220.45	Blank_01_180104205754	613.30811:45156 614.31146:19897 615.31482:0		0	32672	45156	31176	44396
1488	6.772	613.32208	Unknown	[M-H2O-H]-	adduct linked to 1743_[M-H]-	0.4	False	null	null	null	null		null	null	null	null	null	12.93	20180104_RG_01R	613.32208:83683 614.32543:50061 615.32879:11943		27576	83683	6288	0	2191
1489	6.64	613.32214	Unknown	[M-H]-		0.6	False	null	null	null	null		null	null	null	null	null	186.07	Blank_01_180104205754	613.32214:35380 614.32549:32876 615.32885:6126		2857	9247	35380	25953	27413
1490	2.351	613.32483	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.09	20180104_RG_01R	613.32483:57448 614.32818:37420 615.33154:0		0	57448	0	0	0
1491	4.151	613.35736	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.55	20180104_RG_01R	613.35736:166575 614.36071:131958 615.36407:18687		0	166575	0	0	0
1492	5.772	613.39807	Unknown	[M+FA-H]-	adduct linked to 788_[M-H]-	0.8	False	null	null	null	null		null	null	null	null	null	134.84	20180104_RG_01R	613.39807:58130 614.40142:36150 615.40478:38414		23404	58130	30661	25615	23420
1493	6.398	613.42505	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	481.72	20180104_RG_01R	613.42505:34421 614.4284:18992 615.43176:14487		0	34421	0	14837	0
1494	6.065	613.4566	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	356.89	Blank_01_180104225037	613.4566:35513 614.45995:10670 615.46331:0		0	1150	0	35513	13452
1495	0.756	613.94702	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	14.76	20180104_RG_01L	613.94702:25430 614.95037:8025 615.95373:4822		25430	0	0	0	0
1496	1.008	614.03717	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	93.6	20180104_RG_01L	614.03717:264340 615.04052:152700 616.04388:31887	53.40474:1084 68.16423:1457 82.88432:1277 96.95975:16200 102.85127:1243 109.92037:1612 110.6797:1477 128.43854:1457 138.52817:1210 191.05624:2339 192.48445:1952 229.92659:1461 378.72409:1510 411.99039:2443 431.77719:1980 521.78149:1603 540.03149:1803 568.02686:5122 586.03802:2730	264340	554215	0	586	0
1497	0.923	614.04041	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	6.27	20180104_RG_01L	614.04041:17426 615.04376:8519 616.04712:0		17426	187910	0	0	0
1498	1.336	614.11499	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	6.72	20180104_RG_01L	614.11499:18681 615.11834:14382 616.1217:0		18681	39536	0	0	0
1499	2.062	614.25476	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	6.12	20180104_RG_01R	614.25476:312217 615.25811:209821 616.26147:43998		0	312217	1044	0	0
1500	3.268	614.27679	Unknown	[M-H2O-H]-	adduct linked to 2357_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	3.06	20180104_RG_01R	614.27679:30884 615.28014:26361 616.2835:0		0	30884	0	0	0
1501	2.679	614.31293	Unknown	[M-H]-	similar chromatogram in higher mz_4455	0.2	False	null	null	null	null		null	null	null	null	null	2.71	20180104_RG_01R	614.31293:18009 615.31628:6732 616.31964:0		0	18009	0	0	4262
1502	6.865	614.31323	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	4.04	20180104_RG_01R	614.31323:40809 615.31658:26122 616.31994:0		1218	40809	0	0	0
1503	1.138	614.34424	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	13.99	20180104_RG_01L	614.34424:16320 615.34759:5321 616.35095:0		16320	0	0	0	0
1504	3.508	614.35168	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	13.59	20180104_RG_01L	614.35168:15851 615.35503:0 616.35839:0		15851	0	0	0	0
1505	6.455	614.35718	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	26.29	20180104_RG_01L	614.35718:32580 615.36053:0 616.36389:14773		32580	6976	3308	9187	5628
1506	5.709	614.82434	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1.39	Blank_01_180104205754	614.82434:39526 615.82769:0 616.83105:982		4708	17587	39526	40786	47591
1507	2.851	614.84491	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.21	Blank_01_180104225037	614.84491:26549 615.84826:0 616.85162:4184		23873	18604	24342	26549	25365
1508	0.411	614.8988	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	41.31	20180104_RG_01R	614.8988:337313 615.90215:863894 616.90551:1179306	50.2992:1049 61.17112:1197 84.64631:1317 92.38012:1341 130.62138:1520 130.98325:4842 158.9783:30234 174.95602:5543 179.75699:1436 185.01334:1401 189.44568:1369 201.03804:1458 202.97169:2140 218.96767:1861 246.96082:1494 254.31094:1443 272.95844:23120 386.93704:10658 500.92426:1550	0	337313	2073	1077	0
1509	6.567	614.98846	Unknown	[M-H2O-H]-	adduct linked to 1758_[M-H]-	0.4	False	null	null	null	null		null	null	null	null	null	1.27	Blank_01_180105013944	614.98846:99230 615.99181:34040 616.99517:92867		79748	71744	94191	98986	99230
1510	6.848	614.99243	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	7.79	Blank_01_180104205754	614.99243:35835 615.99578:19178 616.99914:73383		45858	49611	35835	34408	32385
1511	4.088	615.00739	Unknown	[M-H]-	adduct linked to 1251_[M-H2O-H]-	0.2	False	null	null	null	null		null	null	null	null	null	4.08	20180104_RG_01L	615.00739:73331 616.01074:8177 617.0141:114062		73331	95804	69551	71142	84312
1512	6.359	615.00836	Unknown	[M-H2O-H]-	adduct linked to 1760_[M-H]-; adduct linked to 807_[M-H]-	0.6	False	null	null	null	null		null	null	null	null	null	4.56	20180104_RG_01L	615.00836:75680 616.01171:0 617.01507:94525		75680	63173	61039	53308	49598
1513	6.238	615.00946	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	4.1	20180104_RG_01L	615.00946:59204 616.01281:7987 617.01617:70693		59204	46495	41544	62615	43971
1514	0.988	615.0415	Unknown	[M+FA-H]-	adduct linked to 810_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	7.92	20180104_RG_01R	615.0415:299937 616.04485:184475 617.04821:240948		106229	299937	0	0	0
1515	0.92	615.04211	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.74	20180104_RG_01R	615.04211:97961 616.04546:42641 617.04882:43176		3112	97961	0	0	0
1516	3.661	615.04852	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	9.55	Blank_01_180104225037	615.04852:70104 616.05187:11797 617.05523:24173		45334	65042	54172	70104	88159
1517	1.924	615.09326	Unknown	[M-H2O-H]-	adduct linked to 2367_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	2.84	20180104_RG_01L	615.09326:20368 616.09661:5988 617.09997:5338		20368	0	0	0	0
1518	0.703	615.11444	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.24	20180104_RG_01L	615.11444:16094 616.11779:4636 617.12115:6515		16094	164	0	0	0
1519	3.398	615.16681	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	7.63	Blank_01_180105013944	615.16681:44218 616.17016:10282 617.17352:20354		0	0	0	0	44218
1520	4.058	615.24713	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.74	20180104_RG_01R	615.24713:23734 616.25048:24603 617.25384:23321		0	23734	0	0	0
1521	1.798	615.26508	Unknown	[M-H]-	similar chromatogram in higher mz_3793; similar chromatogram in higher mz_3837; similar chromatogram in higher mz_4018; similar chromatogram in higher mz_4089; similar chromatogram in higher mz_4403; similar chromatogram in higher mz_4897; similar chromatogram in higher mz_5469	0.2	True	null	null	null	null		null	null	null	null	null	34.3	20180104_RG_01R	615.26508:876426 616.26843:993322 617.27179:319913	55.03492:1241 60.19804:1176 81.73887:1275 92.00226:5594 193.37416:1617 213.89993:1392	1430	876426	0	0	547
1522	4.151	615.2785	Unknown	[M+FA-H]-	adduct linked to 573_[M-H2O-H]-	0.2	False	null	null	null	null		null	null	null	null	null	1.93	20180104_RG_01R	615.2785:16729 616.28185:0 617.28521:0		0	16729	0	0	0
1523	1.556	615.30164	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	9.45	20180104_RG_01R	615.30164:118548 616.30499:141911 617.30835:31360	50.5601:1124 51.50975:1017 55.60397:1047 116.77453:1295 249.18837:2751	0	118548	0	0	0
1524	1.908	615.30255	Unknown	[M-H]-	found in higher mz's MsMs_2134	0.2	True	null	null	null	null		null	null	null	null	null	131.12	20180104_RG_01R	615.30255:1137074 616.3059:1193766 617.30926:283599	59.01295:64532 71.01263:26579 72.99222:2679 73.02828:45398 75.00826:2620 78.77734:1402 83.01331:7919 85.02879:2662 85.53156:1844 87.00838:2812 89.02352:14398 92.00225:3072 99.00758:1721 101.02355:52238 113.02357:11877 119.03448:7309 131.03445:1716 136.3019:1389 144.80263:1430 148.89053:1437 156.81055:1671 161.04648:1422 189.12946:1890 192.44644:2207 203.14445:9400 217.15894:34020 221.15701:1953 247.17078:2519 265.18057:6668 267.37747:1492 349.20624:2028 363.21857:12383 411.23779:3322 555.28735:2685 573.28711:15226 615.29749:193219	3191	1137074	0	0	0
1525	6.449	615.32245	Unknown	[M+FA-H]-	adduct linked to 820_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	14.78	20180104_RG_01L	615.32245:32301 616.3258:10802 617.32916:0		32301	0	1345	1546	1473
1526	3.782	615.34125	Unknown	[M-H]-		0.6	False	null	null	null	null		null	null	null	null	null	10.11	Blank_01_180105013944	615.34125:25031 616.3446:5714 617.34796:0		13406	6650	11432	10060	25031
1527	5.239	615.40692	Unknown	[M-H2O-H]-	similar chromatogram in higher mz_1969; adduct linked to 2380_[M+FA-H]-; similar chromatogram in higher mz_2814	0.4	False	null	null	null	null		null	null	null	null	null	9.18	20180104_RG_01L	615.40692:46013 616.41027:27003 617.41363:7029		46013	23662	0	0	0
1528	6.432	615.49622	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	14.28	Blank_01_180104225037	615.49622:29841 616.49957:13718 617.50293:29709		0	0	0	29841	12364
1529	4.073	615.97424	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	7.15	20180104_RG_01L	615.97424:10963 616.97759:9773 617.98095:0		10963	0	0	0	866
1530	0.756	616.0163	Unknown	[M-H]-	adduct linked to 2166_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	6.3	20180104_RG_01L	616.0163:20660 617.01965:74955 618.02301:22101		20660	0	0	0	0
1531	1.008	616.06305	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	4.55	20180104_RG_01L	616.06305:14906 617.0664:3364 618.06976:10093		14906	55973	0	0	0
1532	0.579	616.13354	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	5.63	Blank_01_180104205754	616.13354:25044 617.13689:16091 618.14025:0		0	0	25044	0	0
1533	4.833	616.15253	Unknown	[M-H2O-H]-	adduct linked to 1784_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	1.72	20180104_RG_01R	616.15253:11609 617.15588:0 618.15924:0		0	11609	0	0	0
1534	0.642	616.23462	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	16.28	Blank_01_180104205754	616.23462:18153 617.23797:7897 618.24133:0		0	662	18153	890	441
1535	3.576	616.29291	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	22.55	20180104_RG_01R	616.29291:111203 617.29626:82939 618.29962:0		0	111203	0	0	0
1536	3.686	616.29327	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	4.51	20180104_RG_01R	616.29327:22241 617.29662:0 618.29998:0		0	22241	0	0	0
1537	6.404	616.34833	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	7.18	20180104_RG_01R	616.34833:24447 617.35168:25048 618.35504:0		11758	24447	0	1069	0
1538	3.935	616.36383	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	271.04	20180104_RG_01L	616.36383:338957 617.36718:168886 618.37054:51153	64.23962:1308 65.66667:1244 74.02347:1680 99.05527:1615 112.98495:1311 128.03465:9817 143.04654:14167 146.04698:1885 160.00659:2658 179.04581:2125 192.46925:3029 210.08788:1723 219.69795:1621 254.08028:2450 257.97775:1558 272.09232:5428 288.06418:1999 306.07684:28105 316.98254:1519 361.94354:1684	338957	0	0	1073	0
1539	6.035	616.5155	Unknown	[M+FA-H]-	adduct linked to 828_[M-H]-	0.4	False	null	null	null	null		null	null	null	null	null	183.66	Blank_01_180104225037	616.5155:17824 617.51885:0 618.52221:0		274	0	2465	17824	16425
1540	6.707	616.98236	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	3.37	20180104_RG_01L	616.98236:60679 617.98571:12545 618.98907:117873		60679	41850	46487	58136	45360
1541	6.296	616.98444	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	4.98	Blank_01_180104225037	616.98444:50931 617.98779:0 618.99115:103358		35771	31391	41523	50931	35170
1542	6.601	616.9845	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.16	Blank_01_180105013944	616.9845:59784 617.98785:0 618.99121:153257		61194	60858	64146	58729	59784
1543	6.881	616.9848	Unknown	[M-H]-	adduct linked to 2179_[M+FA-H]-	0.4	False	null	null	null	null		null	null	null	null	null	3.43	Blank_01_180104205754	616.9848:39271 617.98815:0 618.99151:73348		34125	33513	39271	36926	20763
1544	0.756	617.02258	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	5.36	20180104_RG_01L	617.02258:41531 618.02593:20988 619.02929:25771		41531	0	0	0	0
1545	6.743	617.10022	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.33	Blank_01_180104205754	617.10022:46538 618.10357:5382 619.10693:0		8084	8985	46538	18788	6855
1546	6.669	617.10095	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	14.08	Blank_01_180104205754	617.10095:48901 618.1043:14283 619.10766:0		4121	1744	48901	23799	10516
1547	1.278	617.10529	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.05	20180104_RG_01R	617.10529:33772 618.10864:9340 619.112:83781		5959	33772	0	0	0
1548	0.471	617.13025	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	4.45	20180104_RG_01L	617.13025:38203 618.1336:26693 619.13696:98350		38203	3574	482	0	0
1549	0.622	617.13153	Unknown	[M-H]-	adduct linked to 2182_[M+FA-H]-; adduct linked to 1801_[M-H]-	0.4	False	null	null	null	null		null	null	null	null	null	5.32	20180104_RG_01R	617.13153:23775 618.13488:25102 619.13824:24306		14957	23775	4965	0	0
1550	2.876	617.21234	Unknown	[M-H2O-H]-	adduct linked to 2396_[M+FA-H]-; adduct linked to 1805_[M-H]-	0.8	False	null	null	null	null		null	null	null	null	null	25.15	Blank_01_180104205754	617.21234:76200 618.21569:1514 619.21905:73784		797	56835	76200	62192	58214
1551	2.771	617.21283	Unknown	[M-H2O-H]-	adduct linked to 2397_[M+FA-H]-; adduct linked to 1804_[M-H]-	0.6	False	null	null	null	null		null	null	null	null	null	28.26	Blank_01_180105013944	617.21283:57361 618.21618:12136 619.21954:33905		0	35878	48333	56592	57361
1552	1.547	617.28229	Unknown	[M-H]-		0.4	True	null	null	null	null		null	null	null	null	null	10.43	20180104_RG_01R	617.28229:263370 618.28564:329094 619.289:96411	50.05274:960 50.50456:1075 50.53658:1011 58.64015:1062 59.01294:5059 59.36151:1083 66.45151:1203 71.01321:3189 76.64417:1424 78.21921:1309 89.02355:12361 101.02372:2596 112.77562:1404 120.79956:1326 122.4061:1369 131.03445:2837 138.28258:1296 147.04828:1367 149.04578:6185 162.40829:1432 192.45659:2311 206.70627:1448 278.82654:1398 531.59595:1620 617.2915:10794	25891	263370	0	0	621
1553	6.097	617.349	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	22.09	Blank_01_180104225037	617.349:34783 618.35235:15551 619.35571:0		0	0	4816	34783	29126
1554	5.404	617.38531	Unknown	[M-H]-	similar chromatogram in higher mz_2975; similar chromatogram in higher mz_1991	0.4	True	null	null	null	null		null	null	null	null	null	17.31	20180104_RG_01R	617.38531:1185406 618.38866:774168 619.39202:193052	56.6041:1319 57.83243:1346 85.52331:1951 92.00142:3524 93.85812:1312 113.46724:1441 161.02522:12108 192.42619:1869 200.33952:1433 228.45862:1708 253.43988:1673 495.72195:1622 617.3877:78386	0	1185406	2075	14662	10659
1555	4.827	617.38745	Unknown	[M-H]-	similar chromatogram in higher mz_4999	0.2	False	null	null	null	null		null	null	null	null	null	3.38	20180104_RG_01R	617.38745:169884 618.3908:117313 619.39416:17392		0	169884	0	3439	3099
1556	4.979	617.40491	Unknown	[M-H2O-H]-	adduct linked to 1811_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	461.8	20180104_RG_01R	617.40491:23725 618.40826:32916 619.41162:0		0	23725	0	0	0
1557	6.253	617.42212	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.25	20180104_RG_01R	617.42212:112967 618.42547:101090 619.42883:49845		0	112967	0	249	195
1558	6.091	617.48047	Unknown	[M-H]-		0.6	False	null	null	null	null		null	null	null	null	null	342.46	Blank_01_180104225037	617.48047:106380 618.48382:94198 619.48718:20062		39167	49486	82028	106380	99313
1559	6.353	617.48145	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	268.73	Blank_01_180105013944	617.48145:94337 618.4848:115644 619.48816:57960		62748	45035	112344	99194	94337
1560	5.781	617.48395	Unknown	[M-H2O-H]-	adduct linked to 1817_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	365.37	Blank_01_180104225037	617.48395:73065 618.4873:48095 619.49066:9173		30322	31220	45267	73065	53242
1561	0.545	617.96216	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	5.13	20180104_RG_01R	617.96216:34755 618.96551:6533 619.96887:0		922	34755	0	0	0
